Rk,Player,Nation,Pos,Primary_Pos,Squad,Comp,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,PK,PKatt
714,Nouha Dicko,ml MLI,FWMF,FW,Paris FC,fr Ligue 1,33,1992,0.8,1,4,2,50,5,2.5,0.25,0.5,0,0
715,Yaya Diémé,sn SEN,FW,FW,Strasbourg,fr Ligue 1,17,2007,1.7,0,2,1,50,1.17,0.58,0,0,0,0
716,Bamba Dieng,sn SEN,FW,FW,Lorient,fr Ligue 1,25,2000,13.5,10,45,24,53.3,3.34,1.78,0.2,0.38,1,2
717,Eric Dier,eng ENG,DF,DF,Monaco,fr Ligue 1,31,1994,7.6,1,3,2,66.7,0.39,0.26,0.33,0.5,0,0
718,Lucas Digne,fr FRA,DF,DF,Aston Villa,eng Premier League,32,1993,20.6,0,14,5,35.7,0.68,0.24,0,0,0,0
719,Kevin Diks,id IDN,DF,DF,Gladbach,de Bundesliga,28,1996,27.4,5,23,13,56.5,0.84,0.47,0.04,0.08,4,4
720,Federico Dimarco,it ITA,MF,MF,Inter,it Serie A,27,1997,30,7,65,22,33.8,2.17,0.73,0.11,0.32,0,0
721,Stole Dimitrievski,mk MKD,GK,GK,Valencia,es La Liga,31,1993,20,0,0,0,0,0,0,0,0,0,0
722,Junior Dina Ebimbe,cm CMR,MF,MF,Brest,fr Ligue 1,24,2000,12.9,5,27,9,33.3,2.09,0.7,0.19,0.56,0,0
723,Eren Dinkçi,de GER,MFFW,MF,Heidenheim,de Bundesliga,23,2001,12.6,3,25,9,36,1.99,0.72,0.12,0.33,0,0
724,Eren Dinkçi,de GER,MF,MF,Freiburg,de Bundesliga,23,2001,2.8,0,4,0,0,1.45,0,0,0,0,0
725,Sinaly Diomande,ci CIV,DF,DF,Auxerre,fr Ligue 1,24,2001,23.7,2,9,4,44.4,0.38,0.17,0.22,0.5,0,0
726,Yan Diomandé,ci CIV,FWMF,FW,RB Leipzig,de Bundesliga,18,2006,27.5,12,53,26,49.1,1.93,0.95,0.23,0.46,0,0
727,Issa Diop,ma MAR,DF,DF,Fulham,eng Premier League,28,1997,9.1,1,2,1,50,0.22,0.11,0.5,1,0,0
728,Sérigné Diop,sn SEN,FW,FW,Brest,fr Ligue 1,20,2005,0.1,0,1,0,0,7.5,0,0,0,0,0
729,Sofiane Diop,ma MAR,MFFW,MF,Nice,fr Ligue 1,25,2000,23.7,8,54,17,31.5,2.28,0.72,0.11,0.35,2,2
730,Andy Diouf,fr FRA,MF,MF,Inter,it Serie A,22,2003,5.5,1,10,3,30,1.83,0.55,0.1,0.33,0,0
731,Andy Diouf,fr FRA,MF,MF,Lens,fr Ligue 1,22,2003,1,0,3,1,33.3,3,1,0,0,0,0
732,El Hadji Malick Diouf,sn SEN,DFMF,DF,West Ham,eng Premier League,20,2004,30.1,0,18,4,22.2,0.6,0.13,0,0,0,0
733,Yehvann Diouf,sn SEN,GK,GK,Nice,fr Ligue 1,25,1999,26,0,0,0,0,0,0,0,0,0,0
734,Assane Dioussé,sn SEN,MF,MF,Auxerre,fr Ligue 1,27,1997,2.4,0,4,1,25,1.64,0.41,0,0,0,0
735,Axel Disasi,fr FRA,DF,DF,West Ham,eng Premier League,27,1998,13.9,0,5,3,60,0.36,0.22,0,0,0,0
736,Matías Dituro,ar ARG,GK,GK,Elche,es La Liga,38,1987,22,0,0,0,0,0,0,0,0,0,0
737,Djené,tg TOG,DFMF,DF,Getafe,es La Liga,33,1991,28.6,0,4,0,0,0.14,0,0,0,0,0
738,Harouna Djibrin,cm CMR,MF,MF,Angers,fr Ligue 1,18,2006,3.7,2,7,3,42.9,1.87,0.8,0.29,0.67,0,0
739,Berat Djimsiti,al ALB,DF,DF,Atalanta,it Serie A,32,1993,28.1,0,16,2,12.5,0.57,0.07,0,0,0,0
740,Marko Dmitrović,rs SRB,GK,GK,Espanyol,es La Liga,33,1992,37,0,0,0,0,0,0,0,0,0,0
741,Henrick Do Marcolino,fr FRA,FW,FW,Rennes,fr Ligue 1,19,2006,0,0,0,0,0,0,0,0,0,0,0
742,Ritsu Doan,jp JPN,MF,MF,Frankfurt,de Bundesliga,27,1998,26.3,5,41,15,36.6,1.56,0.57,0.12,0.33,0,0
743,Dodô,br BRA,DFMF,DF,Fiorentina,it Serie A,26,1998,34.8,1,25,4,16,0.72,0.11,0.04,0.25,0,0
744,Danilho Doekhi,nl NED,DF,DF,Union Berlin,de Bundesliga,27,1998,34,5,45,11,24.4,1.32,0.32,0.11,0.45,0,0
745,Matt Doherty,ie IRL,DFMF,DF,Wolves,eng Premier League,33,1992,8.7,0,3,0,0,0.34,0,0,0,0,0
746,Josh Doig,sct SCO,DF,DF,Sassuolo,it Serie A,23,2002,21.3,0,11,4,36.4,0.52,0.19,0,0,0,0
747,Jeremy Doku,be BEL,MFFW,MF,Manchester City,eng Premier League,23,2002,19.8,5,39,15,38.5,1.97,0.76,0.13,0.33,0,0
748,Tyrhys Dolan,eng ENG,MF,MF,Espanyol,es La Liga,23,2001,26.8,2,34,12,35.3,1.27,0.45,0.06,0.17,0,0
749,Marc Domenech,es ESP,MF,MF,Mallorca,es La Liga,19,2006,2.4,0,3,0,0,1.26,0,0,0,0,0
750,Benjamín Domínguez,ar ARG,MF,MF,Bologna,it Serie A,21,2003,6.1,0,12,2,16.7,1.97,0.33,0,0,0,0
751,Carlos Dominguez,es ESP,DF,DF,Celta Vigo,es La Liga,24,2001,6.8,0,2,1,50,0.3,0.15,0,0,0,0
752,Nicolás Domínguez,ar ARG,MF,MF,Nottingham,eng Premier League,27,1998,13.1,1,18,5,27.8,1.38,0.38,0.06,0.2,0,0
753,Jean-Luc Dompé,fr FRA,FWMF,FW,Hamburger SV,de Bundesliga,29,1995,12.6,3,25,12,48,1.98,0.95,0.08,0.17,1,1
754,John Donald,es ESP,DFMF,DF,Elche,es La Liga,24,2000,7.4,1,6,2,33.3,0.81,0.27,0.17,0.5,0,0
755,Gianluigi Donnarumma,it ITA,GK,GK,Manchester City,eng Premier League,26,1999,34,0,0,0,0,0,0,0,0,0,0
756,Romelle Donovan,eng ENG,FW,FW,Brentford,eng Premier League,18,2006,0.5,0,3,1,33.3,6.59,2.2,0,0,0,0
757,Patrick Dorgu,dk DEN,MF,MF,Manchester Utd,eng Premier League,20,2004,16.1,4,25,11,44,1.55,0.68,0.16,0.36,0,0
758,Niklas Dorsch,de GER,MF,MF,Heidenheim,de Bundesliga,27,1998,25.1,0,14,3,21.4,0.56,0.12,0,0,0,0
759,Alberto Dossena,it ITA,DF,DF,Cagliari,it Serie A,26,1998,9.5,0,7,2,28.6,0.73,0.21,0,0,0,0
760,Lohann Doucet,bf BFA,MF,MF,Paris FC,fr Ligue 1,22,2002,1.3,1,2,1,50,1.49,0.74,0.5,1,0,0
761,Fodé Doucouré,ml MLI,MFFW,MF,Le Havre,fr Ligue 1,24,2001,13.8,3,20,8,40,1.45,0.58,0.15,0.38,0,0
762,Mamedi Doucouré,fr FRA,DF,DF,Genoa,it Serie A,18,2007,0.1,0,0,0,0,0,0,0,0,0,0
763,Sékou Doucoure,fr FRA,DF,DF,Nantes,fr Ligue 1,20,2005,0.5,0,0,0,0,0,0,0,0,0,0
764,Désiré Doué,fr FRA,FWMF,FW,PSG,fr Ligue 1,20,2005,15,7,55,19,34.5,3.67,1.27,0.13,0.37,0,1
765,Guéla Doué,ci CIV,DFMF,DF,Strasbourg,fr Ligue 1,22,2002,22.9,2,12,5,41.7,0.52,0.22,0.17,0.4,0,0
766,Ismaël Doukouré,fr FRA,DFMF,DF,Strasbourg,fr Ligue 1,22,2003,23,0,7,3,42.9,0.3,0.13,0,0,0,0
767,Kamory Doumbia,ml MLI,MF,MF,Brest,fr Ligue 1,22,2003,19.4,5,43,14,32.6,2.21,0.72,0.12,0.36,0,0
768,Anastasios Douvikas,gr GRE,FW,FW,Como,it Serie A,25,1999,25.3,14,65,30,46.2,2.57,1.19,0.2,0.43,1,1
769,Artem Dovbyk,ua UKR,FW,FW,Roma,it Serie A,28,1997,4.4,3,12,6,50,2.75,1.37,0.25,0.5,0,0
770,Max Dowman,eng ENG,MF,MF,Arsenal,eng Premier League,15,2009,1.7,1,6,1,16.7,3.44,0.57,0.17,1,0,0
771,Damion Downs,us USA,FW,FW,Hamburger SV,de Bundesliga,21,2004,6,0,7,4,57.1,1.18,0.67,0,0,0,0
772,Radu Drăgușin,ro ROU,DF,DF,Tottenham,eng Premier League,23,2002,5.7,0,4,0,0,0.7,0,0,0,0,0
773,Joél Drakes-Thomas,eng ENG,MF,MF,Crystal Palace,eng Premier League,16,2009,0.1,0,0,0,0,0,0,0,0,0,0
774,Domingos Duarte,pt POR,DF,DF,Getafe,es La Liga,30,1995,32.5,1,13,4,30.8,0.4,0.12,0.08,0.25,0,0
775,Martin Dúbravka,sk SVK,GK,GK,Burnley,eng Premier League,36,1989,35,0,0,0,0,0,0,0,0,0,0
776,Denzel Dumfries,nl NED,MF,MF,Inter,it Serie A,29,1996,14.7,3,23,5,21.7,1.56,0.34,0.13,0.6,0,0
777,Lewis Dunk,eng ENG,DF,DF,Brighton,eng Premier League,33,1991,31.5,1,23,3,13,0.73,0.1,0.04,0.33,0,0
778,Maxime Dupé,fr FRA,GK,GK,Nice,fr Ligue 1,32,1993,8,0,0,0,0,0,0,0,0,0,0
779,Pablo Durán,es ESP,FWMF,FW,Celta Vigo,es La Liga,24,2001,15.8,2,37,15,40.5,2.34,0.95,0.05,0.13,0,0
780,Hugo Duro,es ESP,FW,FW,Valencia,es La Liga,25,1999,22,10,36,14,38.9,1.64,0.64,0.25,0.64,1,2
781,Rafiu Durosinmi,ng NGA,FW,FW,Pisa,it Serie A,22,2003,4.8,1,9,5,55.6,1.87,1.04,0.11,0.2,0,0
782,Paulo Dybala,ar ARG,MFFW,MF,Roma,it Serie A,31,1993,15,2,43,18,41.9,2.86,1.2,0.05,0.11,0,1
783,Edin Džeko,ba BIH,FW,FW,Fiorentina,it Serie A,39,1986,2.7,0,4,1,25,1.48,0.37,0,0,0,0
784,Adam Dźwigała,pl POL,DF,DF,St Pauli,de Bundesliga,29,1995,14.3,1,4,2,50,0.28,0.14,0.25,0.5,0,0
785,Aron Dønnum,no NOR,MF,MF,Toulouse,fr Ligue 1,27,1998,26.9,4,40,14,35,1.49,0.52,0.03,0.07,3,3
786,George Earthy,eng ENG,MF,MF,West Ham,eng Premier League,20,2004,0.1,0,0,0,0,0,0,0,0,0,0
787,Younes Ebnoutalib,de GER,FW,FW,Frankfurt,de Bundesliga,21,2003,1.5,1,5,2,40,3.38,1.35,0.2,0.5,0,0
788,Simon Ebonog,cm CMR,MF,MF,Le Havre,fr Ligue 1,20,2004,19.5,1,22,4,18.2,1.13,0.2,0.05,0.25,0,0
789,Enzo Ebosse,cm CMR,DF,DF,Hellas Verona,it Serie A,26,1999,2.4,0,1,0,0,0.42,0,0,0,0,0
790,Enzo Ebosse,cm CMR,DF,DF,Torino,it Serie A,26,1999,12.4,0,0,0,0,0,0,0,0,0,0
791,Claudio Echeverri,ar ARG,FWMF,FW,Girona,es La Liga,19,2006,6.9,1,21,7,33.3,3.03,1.01,0.05,0.14,0,0
792,Claudio Echeverri,ar ARG,MF,MF,Leverkusen,de Bundesliga,19,2006,1.5,0,1,0,0,0.67,0,0,0,0,0
793,Noah Edjouma,fr FRA,FW,FW,Toulouse,fr Ligue 1,19,2005,2.8,0,8,3,37.5,2.81,1.05,0,0,0,0
794,Noah Edjouma,fr FRA,MF,MF,Lille,fr Ligue 1,19,2005,1,0,2,0,0,1.96,0,0,0,0,0
795,Andrias Edmundsson,fo FRO,DF,DF,Hellas Verona,it Serie A,24,2000,14.7,0,4,1,25,0.27,0.07,0,0,0,0
796,Odsonne Édouard,fr FRA,FW,FW,Crystal Palace,eng Premier League,27,1998,0,0,0,0,0,0,0,0,0,0,0
797,Odsonne Édouard,fr FRA,FW,FW,Lens,fr Ligue 1,27,1998,20,12,60,31,51.7,3.01,1.55,0.18,0.35,1,1
798,Tom Edozie,eng ENG,MF,MF,Wolves,eng Premier League,19,2006,0.2,1,2,1,50,12.86,6.43,0.5,1,0,0
799,Yannick Eduardo,cz CZE,FW,FW,Hoffenheim,de Bundesliga,19,2006,0,0,0,0,0,0,0,0,0,0,0
800,Marcus Edwards,eng ENG,MFFW,MF,Burnley,eng Premier League,26,1998,11.9,1,23,6,26.1,1.94,0.51,0.04,0.17,0,0
801,CJ Egan-Riley,eng ENG,DFMF,DF,Marseille,fr Ligue 1,22,2003,6.9,0,0,0,0,0,0,0,0,0,0
802,Maximilian Eggestein,de GER,MF,MF,Freiburg,de Bundesliga,28,1996,34,3,44,13,29.5,1.29,0.38,0.07,0.23,0,0
803,Kingsley Ehizibue,nl NED,MFDF,MF,Udinese,it Serie A,30,1995,20.1,2,9,2,22.2,0.45,0.1,0.22,1,0,0
804,Ovie Ejaria,eng ENG,MF,MF,Oviedo,es La Liga,27,1997,2.2,0,3,1,33.3,1.35,0.45,0,0,0,0
805,Chidera Ejuke,ng NGA,MFFW,MF,Sevilla,es La Liga,27,1998,10.4,1,23,3,13,2.22,0.29,0.04,0.33,0,0
806,Hjalmar Ekdal,se SWE,DF,DF,Burnley,eng Premier League,26,1998,17.1,0,6,1,16.7,0.35,0.06,0,0,0,0
807,Jeff Ekhator,it ITA,FWMF,FW,Genoa,it Serie A,18,2006,10.6,3,20,5,25,1.88,0.47,0.15,0.6,0,0
808,Hugo Ekitike,fr FRA,FW,FW,Liverpool,eng Premier League,23,2002,20,11,65,19,29.2,3.24,0.95,0.17,0.58,0,0
809,Jurgen Ekkelenkamp,nl NED,MF,MF,Udinese,it Serie A,25,2000,24.3,5,33,15,45.5,1.36,0.62,0.15,0.33,0,0
810,Jacques Ekomie,ga GAB,DFMF,DF,Angers,fr Ligue 1,21,2003,24.9,0,12,3,25,0.48,0.12,0,0,0,0
811,Caleb Ekuban,gh GHA,FWMF,FW,Genoa,it Serie A,31,1994,11,4,29,10,34.5,2.63,0.91,0.14,0.4,0,0
812,Anthony Elanga,se SWE,FWMF,FW,Newcastle,eng Premier League,23,2002,14.7,0,17,4,23.5,1.16,0.27,0,0,0,0
813,Daniel Elfadli,ly LBY,DF,DF,Hamburger SV,de Bundesliga,28,1997,13.9,0,4,1,25,0.29,0.07,0,0,0,0
814,Unai Elgezabal,es ESP,DFMF,DF,Levante,es La Liga,32,1993,10.6,1,3,1,33.3,0.28,0.09,0.33,1,0,0
815,Melker Ellborg,se SWE,GK,GK,Sunderland,eng Premier League,22,2003,3,0,0,0,0,0,0,0,0,0,0
816,Mikael Ellertsson,is ISL,MF,MF,Genoa,it Serie A,23,2002,30.7,1,26,6,23.1,0.85,0.2,0.04,0.17,0,0
817,Harvey Elliott,eng ENG,FWMF,FW,Liverpool,eng Premier League,22,2003,0,0,0,0,0,0,0,0,0,0,0
818,Harvey Elliott,eng ENG,MF,MF,Aston Villa,eng Premier League,22,2003,1.2,0,5,0,0,4.02,0,0,0,0,0
819,Elif Elmas,mk MKD,MFFW,MF,Napoli,it Serie A,25,1999,19.8,1,27,9,33.3,1.36,0.45,0.04,0.11,0,0
820,Nesta Elphege,fr FRA,FW,FW,Parma,it Serie A,24,2001,3.4,2,6,3,50,1.75,0.87,0.33,0.67,0,0
821,Aritz Elustondo,es ESP,DF,DF,Real Sociedad,es La Liga,31,1994,8,0,4,2,50,0.5,0.25,0,0,0,0
822,Nico Elvedi,ch SUI,DF,DF,Gladbach,de Bundesliga,28,1996,33,0,9,0,0,0.27,0,0,0,0,0
823,Breel Embolo,ch SUI,FW,FW,Rennes,fr Ligue 1,28,1997,20.8,8,41,18,43.9,1.97,0.87,0.2,0.44,0,0
824,Emanuel Emegha,nl NED,FW,FW,Strasbourg,fr Ligue 1,22,2003,4.9,4,17,8,47.1,3.45,1.63,0.24,0.5,0,0
825,Emersonn,br BRA,FW,FW,Toulouse,fr Ligue 1,21,2004,16.7,6,51,19,37.3,3.06,1.14,0.12,0.32,0,0
826,Julio Enciso,py PAR,MFFW,MF,Strasbourg,fr Ligue 1,21,2004,20.9,3,61,22,36.1,2.92,1.05,0.03,0.09,1,1
827,Wataru Endo,jp JPN,DF,DF,Liverpool,eng Premier League,32,1993,1.9,0,1,0,0,0.51,0,0,0,0,0
828,Endrick,br BRA,FW,FW,Real Madrid,es La Liga,19,2006,0.1,0,0,0,0,0,0,0,0,0,0
829,Endrick,br BRA,FWMF,FW,Lyon,fr Ligue 1,19,2006,13.5,5,50,26,52,3.7,1.93,0.08,0.15,1,1
830,Yannik Engelhardt,de GER,MF,MF,Gladbach,de Bundesliga,24,2001,27.6,2,21,5,23.8,0.76,0.18,0.1,0.4,0,0
831,Christian Eriksen,dk DEN,MF,MF,Wolfsburg,de Bundesliga,33,1992,26.8,3,38,14,36.8,1.42,0.52,0,0,3,4
832,Aarón Escandell,es ESP,GK,GK,Oviedo,es La Liga,29,1995,36,0,0,0,0,0,0,0,0,0,0
833,Xavi Espart,es ESP,DF,DF,Barcelona,es La Liga,18,2007,1.8,0,1,0,0,0.55,0,0,0,0,0
834,Carlos Espí,es ESP,FW,FW,Levante,es La Liga,20,2005,14.9,11,57,24,42.1,3.82,1.61,0.19,0.46,0,0
835,Alfonso Espino,uy URU,DFMF,DF,Rayo Vallecano,es La Liga,33,1992,16.5,2,20,9,45,1.21,0.55,0.1,0.22,0,0
836,Francesco Esposito,it ITA,FW,FW,Inter,it Serie A,20,2005,17.5,7,57,23,40.4,3.27,1.32,0.12,0.3,0,0
837,Sebastiano Esposito,it ITA,FWMF,FW,Cagliari,it Serie A,23,2002,29.7,7,57,16,28.1,1.92,0.54,0.11,0.38,1,1
838,Romain Esse,eng ENG,MF,MF,Crystal Palace,eng Premier League,20,2005,0.5,0,0,0,0,0,0,0,0,0,0
839,Samuel Essende,cd COD,MFFW,MF,Augsburg,de Bundesliga,27,1998,4.6,1,17,4,23.5,3.7,0.87,0.06,0.25,0,0
840,Dario Essugo,pt POR,MF,MF,Chelsea,eng Premier League,20,2005,0.3,0,0,0,0,0,0,0,0,0,0
841,Marco Esteban,es ESP,DF,DF,Oviedo,es La Liga,19,2006,0.5,0,0,0,0,0,0,0,0,0,0
842,Maxime Estève,fr FRA,DF,DF,Burnley,eng Premier League,23,2002,32.6,0,10,1,10,0.31,0.03,0,0,0,0
843,Tomás Esteves,pt POR,DFMF,DF,Pisa,it Serie A,23,2002,0.2,0,0,0,0,0,0,0,0,0,0
844,Nahuel Estévez,ar ARG,MF,MF,Parma,it Serie A,29,1995,11.7,0,9,1,11.1,0.77,0.09,0,0,0,0
845,Pervis Estupiñán,ec ECU,MF,MF,Milan,it Serie A,27,1998,11.5,1,9,1,11.1,0.78,0.09,0.11,1,0,0
846,Karl Etta Eyong,cm CMR,FW,FW,Villarreal,es La Liga,21,2003,2.8,1,7,3,42.9,2.46,1.05,0.14,0.33,0,0
847,Karl Etta Eyong,cm CMR,FW,FW,Levante,es La Liga,21,2003,15.7,6,43,21,48.8,2.73,1.33,0.14,0.29,0,1
848,Evanilson,br BRA,FW,FW,Bournemouth,eng Premier League,25,1999,30.5,6,72,23,31.9,2.36,0.75,0.08,0.26,0,0
849,Edu Expósito,es ESP,MF,MF,Espanyol,es La Liga,28,1996,28,1,44,13,29.5,1.57,0.46,0.02,0.08,0,0
850,Eberechi Eze,eng ENG,MFFW,MF,Arsenal,eng Premier League,27,1998,20.1,7,57,18,31.6,2.83,0.89,0.12,0.39,0,0
851,Eberechi Eze,eng ENG,MF,MF,Crystal Palace,eng Premier League,27,1998,0.9,0,6,2,33.3,6.51,2.17,0,0,0,0
852,Abde Ezzalzouli,ma MAR,MFFW,MF,Real Betis,es La Liga,23,2001,25,10,73,26,35.6,2.92,1.04,0.14,0.38,0,0
853,Giovanni Fabbian,it ITA,MF,MF,Bologna,it Serie A,22,2003,7.8,2,14,4,28.6,1.79,0.51,0.14,0.5,0,0
854,Giovanni Fabbian,it ITA,MF,MF,Fiorentina,it Serie A,22,2003,5.2,0,7,2,28.6,1.35,0.38,0,0,0,0
855,Alieu Fadera,gm GAM,FW,FW,Sassuolo,it Serie A,23,2001,11,2,13,4,30.8,1.19,0.36,0.15,0.5,0,0
856,Wout Faes,be BEL,DF,DF,Monaco,fr Ligue 1,27,1998,12.7,0,5,1,20,0.39,0.08,0,0,0,0
857,Nicolò Fagioli,it ITA,MF,MF,Fiorentina,it Serie A,24,2001,28.4,2,33,7,21.2,1.16,0.25,0.06,0.29,0,0
858,Romain Faivre,fr FRA,MFFW,MF,Auxerre,fr Ligue 1,27,1998,6.5,0,11,3,27.3,1.7,0.46,0,0,0,0
859,Omar Falah,es ESP,DF,DF,Oviedo,es La Liga,21,2003,0.2,0,0,0,0,0,0,0,0,0,0
860,Wladimiro Falcone,it ITA,GK,GK,Lecce,it Serie A,30,1995,38,0,0,0,0,0,0,0,0,0,0
861,Ansu Fati,es ESP,MFFW,MF,Monaco,fr Ligue 1,22,2002,12.1,11,43,24,55.8,3.54,1.98,0.19,0.33,3,4
862,Abdoulaye Faye,sn SEN,DF,DF,Lorient,fr Ligue 1,20,2004,16,0,8,2,25,0.5,0.12,0,0,0,0
863,Jacopo Fazzini,it ITA,MFFW,MF,Fiorentina,it Serie A,22,2003,6.5,0,9,1,11.1,1.39,0.15,0,0,0,0
864,Aleix Febas,es ESP,MF,MF,Elche,es La Liga,29,1996,35.1,2,23,8,34.8,0.66,0.23,0.09,0.25,0,0
865,Mattia Felici,it ITA,MF,MF,Cagliari,it Serie A,24,2001,4.6,2,9,6,66.7,1.97,1.31,0.22,0.33,0,0
866,Luiz Felipe,it ITA,DF,DF,Rayo Vallecano,es La Liga,28,1997,5.2,0,3,1,33.3,0.57,0.19,0,0,0,0
867,Pedro Felipe,br BRA,DF,DF,Sassuolo,it Serie A,21,2004,1.4,0,0,0,0,0,0,0,0,0,0
868,Frank Feller,de GER,GK,GK,Heidenheim,de Bundesliga,21,2004,3,0,0,0,0,0,0,0,0,0,0
869,Robin Fellhauer,de GER,MF,MF,Augsburg,de Bundesliga,27,1998,31.1,3,30,9,30,0.96,0.29,0.1,0.33,0,0
870,Kiko Femenía,es ESP,DFMF,DF,Getafe,es La Liga,34,1991,22.3,1,8,3,37.5,0.36,0.13,0.13,0.33,0,0
871,Evan Ferguson,ie IRL,FW,FW,Roma,it Serie A,20,2004,8.6,3,27,15,55.6,3.14,1.75,0.11,0.2,0,0
872,Lewis Ferguson,sct SCO,MF,MF,Bologna,it Serie A,25,1999,17.8,1,13,2,15.4,0.73,0.11,0.08,0.5,0,0
873,Bruno Fernandes,pt POR,MF,MF,Manchester Utd,eng Premier League,30,1994,34,9,85,24,28.2,2.5,0.71,0.06,0.21,4,6
874,Mateus Fernandes,pt POR,MF,MF,West Ham,eng Premier League,21,2004,33.5,3,28,8,28.6,0.84,0.24,0.11,0.38,0,0
875,Aitor Fernández,es ESP,GK,GK,Osasuna,es La Liga,34,1991,1.5,0,0,0,0,0,0,0,0,0,0
876,Dro Fernández,es ESP,MF,MF,Barcelona,es La Liga,17,2008,1,0,0,0,0,0,0,0,0,0,0
877,Dro Fernández,es ESP,MF,MF,PSG,fr Ligue 1,17,2008,7.6,1,9,3,33.3,1.19,0.4,0.11,0.33,0,0
878,Enzo Fernández,ar ARG,MF,MF,Chelsea,eng Premier League,24,2001,34.6,10,72,31,43.1,2.08,0.9,0.11,0.26,2,2
879,Ezequiél Fernández,ar ARG,MF,MF,Leverkusen,de Bundesliga,23,2002,10.9,0,11,1,9.1,1.01,0.09,0,0,0,0
880,Manu Fernández,es ESP,DF,DF,Celta Vigo,es La Liga,24,2001,8.4,0,2,0,0,0.24,0,0,0,0,0
881,Pelayo Fernandez,es ESP,DF,DF,Rayo Vallecano,es La Liga,22,2003,0.5,0,1,0,0,2,0,0,0,0,0
882,Roberto Férnandez,es ESP,FW,FW,Espanyol,es La Liga,23,2002,26.5,7,59,23,39,2.23,0.87,0.1,0.26,1,1
883,Thiago Fernández,ar ARG,MFFW,MF,Oviedo,es La Liga,21,2004,9.1,0,13,5,38.5,1.43,0.55,0,0,0,0
884,Toni Fernández,es ESP,FW,FW,Barcelona,es La Liga,17,2008,0.5,0,0,0,0,0,0,0,0,0,0
885,Matias Fernandez-Pardo,be BEL,FWMF,FW,Lille,fr Ligue 1,20,2005,26.3,8,68,30,44.1,2.58,1.14,0.09,0.2,2,2
886,Álvaro Fidalgo,mx MEX,MF,MF,Real Betis,es La Liga,28,1997,6,1,4,2,50,0.66,0.33,0.25,0.5,0,0
887,Seydou Fini,it ITA,FW,FW,Genoa,it Serie A,19,2006,0.4,0,0,0,0,0,0,0,0,0,0
888,Max Finkgräfe,de GER,DF,DF,RB Leipzig,de Bundesliga,21,2004,5.6,1,4,2,50,0.71,0.36,0.25,0.5,0,0
889,Junior Firpo,do DOM,DF,DF,Real Betis,es La Liga,28,1996,9.2,0,5,0,0,0.54,0,0,0,0,0
890,Jonathan Fischer,dk DEN,GK,GK,Metz,fr Ligue 1,23,2001,26.2,0,0,0,0,0,0,0,0,0,0
891,Kilian Fischer,de GER,DF,DF,Wolfsburg,de Bundesliga,24,2000,8.9,0,2,0,0,0.23,0,0,0,0,0
892,Mark Flekken,nl NED,GK,GK,Leverkusen,de Bundesliga,32,1993,23.7,0,0,0,0,0,0,0,0,0,0
893,Zian Flemming,nl NED,FW,FW,Burnley,eng Premier League,26,1998,19.7,11,52,21,40.4,2.65,1.07,0.17,0.43,2,2
894,Jack Fletcher,eng ENG,MF,MF,Manchester Utd,eng Premier League,18,2007,1.2,0,1,0,0,0.83,0,0,0,0,0
895,Tyler Fletcher,sct SCO,MF,MF,Manchester Utd,eng Premier League,18,2007,0.2,0,0,0,0,0,0,0,0,0,0
896,Romano Floriani,it ITA,MF,MF,Cremonese,it Serie A,22,2003,13,0,5,1,20,0.39,0.08,0,0,0,0
897,Phil Foden,eng ENG,MF,MF,Manchester City,eng Premier League,25,2000,23.2,7,55,19,34.5,2.37,0.82,0.13,0.37,0,0
898,Malick Fofana,be BEL,MFFW,MF,Lyon,fr Ligue 1,20,2005,8.3,2,19,9,47.4,2.28,1.08,0.11,0.22,0,0
899,Rayan Fofana,fr FRA,FWMF,FW,Lens,fr Ligue 1,19,2006,8.9,5,36,12,33.3,4.06,1.35,0.14,0.42,0,0
900,Sadik Fofana,tg TOG,MF,MF,Lecce,it Serie A,22,2003,0.9,0,2,0,0,2.14,0,0,0,0,0
901,Seko Fofana,ci CIV,MF,MF,Rennes,fr Ligue 1,30,1995,7.3,1,9,3,33.3,1.24,0.41,0.11,0.33,0,0
902,Wesley Fofana,fr FRA,DF,DF,Chelsea,eng Premier League,24,2000,19.1,0,8,1,12.5,0.42,0.05,0,0,0,0
903,Youssouf Fofana,fr FRA,MF,MF,Milan,it Serie A,26,1999,24.5,2,45,18,40,1.84,0.74,0.04,0.11,0,0
904,Jonas Föhrenbach,de GER,DFMF,DF,Heidenheim,de Bundesliga,29,1996,25.8,1,6,1,16.7,0.23,0.04,0.17,1,0,0
905,Francesco Folino,it ITA,DF,DF,Cremonese,it Serie A,23,2002,8,1,2,1,50,0.25,0.12,0.5,1,0,0
906,Michael Folorunsho,it ITA,MFFW,MF,Cagliari,it Serie A,27,1998,22.2,2,36,9,25,1.62,0.41,0.06,0.22,0,0
907,Nicolas Fonseca,uy URU,MF,MF,Oviedo,es La Liga,26,1998,11.3,0,8,1,12.5,0.71,0.09,0,0,0,0
908,Álex Forés,es ESP,FW,FW,Oviedo,es La Liga,24,2001,4,0,8,2,25,2,0.5,0,0,0,0
909,Pablo Fornals,es ESP,MF,MF,Real Betis,es La Liga,29,1996,31.6,9,43,18,41.9,1.36,0.57,0.21,0.5,0,0
